,Toneladas Abastecidas,Cd_Planta,Planta,Dirección_,Ciudad_,X,Y
0,46.562,10840,AOUN OJEDA LEILA LETICIA E.I.R.L.,Pugueñun Pihuio,Ancud,-73.699365,-41.821942
1,773.46,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
2,438.25,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
3,477.59,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
4,228.63,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
5,75.03,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
6,351.31,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
7,32.18,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
8,393.4,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
9,113.26,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
10,37.85,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
11,635.34,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
12,33.980000000000004,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
13,126.73,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
14,242.22,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
15,500.165,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
16,78.0,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
17,450.77,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
18,25.4,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
19,228.67,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
20,167.42,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
21,189.3,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
22,356.82,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
23,152.46,10754,BLUE SHELL S.A.,Parcela 2 Teguel Costero S N,Dalcahue,-73.6344444444445,-42.3697222222222
